Count,Date,Time,Lat,Long,Speed,Altitude,GSR
0,25/5/2018,14:59:46,51.525772,-0.133281,6.8,0,542
1,25/5/2018,14:59:47,51.525787,-0.133282,4.06,0,544
2,25/5/2018,14:59:48,51.525791,-0.13329,2.94,0,546
3,25/5/2018,14:59:48,51.525791,-0.13329,2.94,63.9,549
4,25/5/2018,14:59:49,51.525803,-0.13328,4.17,63.9,546
5,25/5/2018,14:59:50,51.525829,-0.133245,4.56,63.9,551
6,25/5/2018,14:59:50,51.525829,-0.133245,4.56,66.8,553
7,25/5/2018,14:59:51,51.525848,-0.133232,4.15,66.8,550
8,25/5/2018,14:59:51,51.525848,-0.133232,4.15,58.6,549
9,25/5/2018,14:59:52,51.525856,-0.133216,2.2,58.6,547
10,25/5/2018,14:59:53,51.525867,-0.133206,2.72,58.6,550
11,25/5/2018,14:59:53,51.525867,-0.133206,2.72,56.6,550
12,25/5/2018,14:59:54,51.525875,-0.133199,2.8,56.6,549
13,25/5/2018,14:59:54,51.525875,-0.133199,2.8,56.5,550
14,25/5/2018,14:59:55,51.525875,-0.133184,2,56.5,549
15,25/5/2018,14:59:56,51.525867,-0.133176,1.98,56.5,547
16,25/5/2018,14:59:56,51.525867,-0.133176,1.98,62,548
17,25/5/2018,14:59:57,51.525898,-0.133127,4.46,62,547
18,25/5/2018,14:59:57,51.525898,-0.133127,4.46,61.2,549
19,25/5/2018,14:59:58,51.525909,-0.133099,3.69,61.2,548
20,25/5/2018,14:59:58,51.525909,-0.133099,3.69,63.3,550
21,25/5/2018,14:59:59,51.525913,-0.133084,2.67,63.3,548
22,25/5/2018,15:00:00,51.525909,-0.133058,5.56,63.3,550
23,25/5/2018,15:00:00,51.525909,-0.133058,5.56,60.6,552
24,25/5/2018,15:00:01,51.525902,-0.133036,4.37,60.6,548
25,25/5/2018,15:00:01,51.525902,-0.133036,4.37,62.4,550
26,25/5/2018,15:00:02,51.525898,-0.133015,4.89,62.4,549
27,25/5/2018,15:00:03,51.525913,-0.132984,4.17,62.4,550
28,25/5/2018,15:00:03,51.525913,-0.132984,4.17,62,551
29,25/5/2018,15:00:04,51.525928,-0.132953,3.54,62,547
30,25/5/2018,15:00:04,51.525928,-0.132953,3.54,62.5,549
31,25/5/2018,15:00:05,51.525932,-0.132922,3.33,62.5,546
32,25/5/2018,15:00:06,51.52594,-0.132886,3.61,62.5,548
33,25/5/2018,15:00:06,51.52594,-0.132886,3.61,61.9,550
34,25/5/2018,15:00:07,51.525967,-0.132818,5.06,61.9,548
35,25/5/2018,15:00:07,51.525967,-0.132818,5.06,62.3,550
36,25/5/2018,15:00:08,51.52597,-0.132793,5.78,62.3,547
37,25/5/2018,15:00:09,51.52597,-0.132765,5.54,62.3,548
38,25/5/2018,15:00:09,51.52597,-0.132765,5.54,63,548
39,25/5/2018,15:00:10,51.525982,-0.132717,6.7,63,548
40,25/5/2018,15:00:10,51.525982,-0.132717,6.7,68.2,550
41,25/5/2018,15:00:11,51.525986,-0.132694,5.89,68.2,549
42,25/5/2018,15:00:30,51.526257,-0.132414,2.22,68.2,552
43,25/5/2018,15:00:33,51.526249,-0.132314,1.87,68.2,552
44,25/5/2018,15:00:33,51.526249,-0.132314,1.87,60.9,553
45,25/5/2018,15:00:34,51.52618,-0.132292,1.52,60.9,551
46,25/5/2018,15:00:36,51.526154,-0.132264,3.82,60.9,552
47,25/5/2018,15:00:36,51.526154,-0.132264,3.82,62.5,553
48,25/5/2018,15:00:37,51.526142,-0.132267,2.91,62.5,552
49,25/5/2018,15:00:37,51.526142,-0.132267,2.91,64.5,554
50,25/5/2018,15:00:38,51.526146,-0.132261,2.8,64.5,550
51,25/5/2018,15:00:38,51.526146,-0.132261,2.8,65.7,551
52,25/5/2018,15:00:39,51.526146,-0.132254,2.59,65.7,550
53,25/5/2018,15:00:40,51.526157,-0.13225,5.5,65.7,550
54,25/5/2018,15:00:40,51.526157,-0.13225,5.5,64.2,551
55,25/5/2018,15:00:41,51.526127,-0.132275,6.59,64.2,549
56,25/5/2018,15:00:42,51.526142,-0.13227,2.2,64.2,551
57,25/5/2018,15:00:43,51.52615,-0.13226,4.89,64.2,552
58,25/5/2018,15:00:43,51.52615,-0.13226,4.89,65.9,552
59,25/5/2018,15:00:44,51.526154,-0.132257,1.69,65.9,550
60,25/5/2018,15:00:44,51.526154,-0.132257,1.69,65.7,551
61,25/5/2018,15:00:45,51.526165,-0.132242,4.7,65.7,549
62,25/5/2018,15:00:46,51.526173,-0.132236,1.5,65.7,550
63,25/5/2018,15:00:46,51.526173,-0.132236,1.5,65.3,552
64,25/5/2018,15:00:47,51.526173,-0.132236,0.41,65.3,552
65,25/5/2018,15:00:48,51.526176,-0.132222,4.61,65.3,553
66,25/5/2018,15:00:48,51.526176,-0.132222,4.61,65.5,553
67,25/5/2018,15:00:49,51.526176,-0.132217,6.87,65.5,550
68,25/5/2018,15:00:50,51.526192,-0.132182,11.56,65.5,550
69,25/5/2018,15:00:50,51.526192,-0.132182,11.56,65,551
70,25/5/2018,15:00:51,51.526184,-0.132182,0.91,65,549
71,25/5/2018,15:00:52,51.526176,-0.132188,2.46,65,550
72,25/5/2018,15:00:53,51.526169,-0.132192,0.67,65,550
73,25/5/2018,15:00:59,51.526154,-0.132184,2.44,65,554
74,25/5/2018,15:01:00,51.526146,-0.132195,5.37,65,553
75,25/5/2018,15:01:01,51.52615,-0.13217,1.35,65,554
76,25/5/2018,15:01:02,51.526165,-0.132132,4.82,65,555
77,25/5/2018,15:01:03,51.52618,-0.132095,5.22,65,553
78,25/5/2018,15:01:04,51.52623,-0.132003,2.74,65,553
79,25/5/2018,15:01:05,51.526237,-0.131987,1.85,65,554
80,25/5/2018,15:01:06,51.526245,-0.131967,6.87,65,555
81,25/5/2018,15:01:07,51.526272,-0.131918,7.26,65,554
82,25/5/2018,15:01:07,51.526272,-0.131918,7.26,65.7,556
83,25/5/2018,15:01:08,51.526348,-0.131775,5.02,65.7,553
84,25/5/2018,15:01:09,51.526375,-0.13173,5.28,65.7,556
85,25/5/2018,15:01:09,51.526375,-0.13173,5.28,66.4,558
86,25/5/2018,15:01:10,51.526382,-0.131704,6.04,66.4,555
87,25/5/2018,15:01:11,51.526402,-0.131667,4.22,66.4,556
88,25/5/2018,15:01:11,51.526402,-0.131667,4.22,66.2,556
89,25/5/2018,15:01:12,51.526417,-0.131609,7.13,66.2,555
90,25/5/2018,15:01:13,51.52644,-0.131583,4.09,66.2,555
91,25/5/2018,15:01:14,51.526447,-0.131561,7.22,66.2,557
92,25/5/2018,15:01:15,51.526455,-0.131543,5.87,66.2,559
93,25/5/2018,15:01:16,51.526463,-0.131527,6.07,66.2,556
94,25/5/2018,15:01:17,51.52647,-0.131512,2.32,66.2,557
95,25/5/2018,15:01:17,51.52647,-0.131512,2.32,66.6,558
96,25/5/2018,15:01:18,51.526474,-0.131497,4.11,66.6,557
97,25/5/2018,15:01:19,51.526478,-0.131483,4.43,66.6,559
98,25/5/2018,15:01:19,51.526478,-0.131483,4.43,66,560
99,25/5/2018,15:01:28,51.526485,-0.131382,4.11,66,561
100,25/5/2018,15:01:28,51.526485,-0.131382,4.11,63,562
101,25/5/2018,15:01:34,51.526455,-0.131298,13.33,63,564
102,25/5/2018,15:01:34,51.526455,-0.131298,13.33,62.8,564
103,25/5/2018,15:01:35,51.526432,-0.131318,3.37,62.8,561
104,25/5/2018,15:01:36,51.526424,-0.13132,5.07,62.8,560
105,25/5/2018,15:01:37,51.526402,-0.131312,4.61,62.8,560
106,25/5/2018,15:01:38,51.526382,-0.13132,3.98,62.8,561
107,25/5/2018,15:01:38,51.526382,-0.13132,3.98,63.5,561
108,25/5/2018,15:01:39,51.526375,-0.131316,3.5,63.5,559
109,25/5/2018,15:01:43,51.526325,-0.131285,4.89,63.5,562
110,25/5/2018,15:01:44,51.526318,-0.131276,3.09,63.5,561
111,25/5/2018,15:01:44,51.526318,-0.131276,3.09,61.3,562
112,25/5/2018,15:01:45,51.52631,-0.131251,4.78,61.3,560
113,25/5/2018,15:01:46,51.526287,-0.131259,5.37,61.3,559
114,25/5/2018,15:01:47,51.526276,-0.131271,3.24,61.3,560
115,25/5/2018,15:01:48,51.526272,-0.131262,4.3,61.3,559
116,25/5/2018,15:01:49,51.526257,-0.131252,4.26,61.3,561
117,25/5/2018,15:01:50,51.526249,-0.131242,4.43,61.3,561
118,25/5/2018,15:01:51,51.526241,-0.131232,4.57,61.3,560
119,25/5/2018,15:01:52,51.52623,-0.13122,5.52,61.3,562
