Count,Date,Time,Lat,Long,Altitude,GSR
0,25/5/2018,15:11:19,51.524872,-0.12893,0,406
1,25/5/2018,15:11:21,51.524853,-0.128878,0,408
2,25/5/2018,15:11:23,51.524883,-0.12886,0,408
3,25/5/2018,15:11:23,51.524883,-0.12886,2.8,411
4,25/5/2018,15:11:26,51.525146,-0.12847,2.8,410
5,25/5/2018,15:11:28,51.52512,-0.128512,2.8,410
6,25/5/2018,15:11:28,51.52512,-0.128512,42.2,412
7,25/5/2018,15:11:31,51.525093,-0.12851,42.2,411
8,25/5/2018,15:11:33,51.525074,-0.128509,42.2,412
9,25/5/2018,15:11:35,51.525055,-0.128521,42.2,411
10,25/5/2018,15:11:35,51.525055,-0.128521,41.4,414
11,25/5/2018,15:11:38,51.524986,-0.128566,41.4,412
12,25/5/2018,15:11:40,51.524971,-0.12856,41.4,413
13,25/5/2018,15:11:40,51.524971,-0.12856,41.9,415
14,25/5/2018,15:11:43,51.52499,-0.128535,41.9,414
15,25/5/2018,15:11:45,51.524971,-0.128536,41.9,414
16,25/5/2018,15:11:45,51.524971,-0.128536,41.2,416
17,25/5/2018,15:11:48,51.524971,-0.128506,41.2,415
18,25/5/2018,15:11:50,51.524994,-0.128468,41.2,415
19,25/5/2018,15:11:50,51.524994,-0.128468,44.8,416
20,25/5/2018,15:11:53,51.52496,-0.12844,44.8,415
21,25/5/2018,15:11:55,51.524944,-0.128433,44.8,414
22,25/5/2018,15:11:57,51.524921,-0.128436,44.8,415
23,25/5/2018,15:11:59,51.524906,-0.128445,44.8,414
24,25/5/2018,15:12:01,51.524906,-0.128464,44.8,415
25,25/5/2018,15:12:03,51.52491,-0.128484,44.8,415
26,25/5/2018,15:12:03,51.52491,-0.128484,50,416
27,25/5/2018,15:12:06,51.524906,-0.128514,50,416
28,25/5/2018,15:12:08,51.524906,-0.12853,50,415
29,25/5/2018,15:12:08,51.524906,-0.12853,49.5,417
30,25/5/2018,15:12:11,51.524899,-0.128562,49.5,416
31,25/5/2018,15:12:13,51.524883,-0.128583,49.5,415
32,25/5/2018,15:12:13,51.524883,-0.128583,46.3,418
33,25/5/2018,15:12:16,51.524895,-0.128617,46.3,417
34,25/5/2018,15:12:18,51.524891,-0.128641,46.3,418
35,25/5/2018,15:12:18,51.524891,-0.128641,46.7,418
36,25/5/2018,15:12:21,51.524872,-0.128666,46.7,417
